Paient_ID,Percent_Time
child#001,39.70893970893971
child#002,46.98544698544699
child#003,50.1039501039501
child#004,55.71725571725572
child#005,91.68399168399168
child#006,41.37214137214137
child#007,57.7962577962578
child#008,42.20374220374221
child#009,67.56756756756756
child#010,52.80665280665281
adolescent#001,86.6943866943867
adolescent#002,51.35135135135135
adolescent#003,49.272349272349274
adolescent#004,50.1039501039501
adolescent#005,61.74636174636174
adolescent#006,74.63617463617463
adolescent#007,46.36174636174636
adolescent#008,59.25155925155925
adolescent#009,53.638253638253644
adolescent#010,65.07276507276507
adult#001,70.89397089397089
adult#002,79.41787941787942
adult#003,64.44906444906445
adult#004,67.15176715176715
adult#005,69.85446985446985
adult#006,63.20166320166321
adult#007,71.93347193347194
adult#008,77.96257796257797
adult#009,61.53846153846154
adult#010,68.3991683991684
